TIPO;DIRECCION;IDENTIFICADOR;CODIGO;CODNDP,N,19,0;TIPO DE VALLA;TIPO DE SUELO;LOCALIZACION;ACCESO;N.ELEMENTOS;AREA;PERIMETRO;DIRECCION AUXLIAR;DISTRITO;BARRIO;latitud;longitud;UTMX;UTMY
AREA INFANTIL;CALLE DUQUE DE OSUNA nº 1;2;1004;31037422;VALLA METALICA DE COLORINES;ARENA;0;0;5;172,197;54,23;Pza · PLAZA CRISTINO MARTOS , ASCENDIENTE 1: 015;CENTRO;UNIVERSIDAD;40,425535;-3,711924;439609,003;4475232,519
AREA INFANTIL;CALLE SALVADOR ALLENDE nº 3;855;11201;31036360;VALLA DE MADERA DE COLOR MARRON;ARENA;EN PARQUE DE LA PESETA;0;5;406,139;84,03;PARQUE DE LA PESETA;CARABANCHEL;BUENAVISTA;40,364888;-3,756638;435758,369;4468532,179
AREA INFANTIL;CALLE PESO HISPANO nº 7;824;11165;31010838;VALLA VEGETAL;ARENA;0;0;4;608,354;102,52;C · CALLE SOUS DE PLATA 43 , ASCENDIENTE 1: 116 ·;CARABANCHEL;BUENAVISTA;40,3669;-3,744642;436778,821;4468746,892
AREA INFANTIL;CALLE ALBOREA nº 7;735;11040;11076930;VALLA METALICA CON COLORINES;ARENA;0;0;4;113,466;44,21;C · CALLE ALBOREA 07 , ASCENDIENTE 1: 115 · PUERT;CARABANCHEL;PUERTA BONITA;40,374164;-3,739492;437222,811;4469549,518
AREA INFANTIL;CALLE PINGÜINO nº 2;741;11047;20119387;SIN VALLA;ARENA;0;0;1;158,459;50,34;C · CALLE PINGÜINO , ASCENDIENTE 1: 114 · VISTA A;CARABANCHEL;VISTA ALEGRE;40,379835;-3,749213;436402,849;4470186,017
AREA INFANTIL;PASEO CHOPERA nº 27;79;2050;31050620;VALLA METALICA DE COLORINES;ARENA;EN PARQUE;0;2;93,75;41,54;P? · PASEO CHOPERA 29 , ASCENDIENTE 1: 023 · LA C;ARGANZUELA;CHOPERA;40,39547;-3,700486;440552,811;4471887,57
AREA INFANTIL;CALLE NUESTRA SEÑORA DE LA LUZ nº 11;713;11008;20168102;VALLA METALICA COLOR VERDE;ARENA;0;0;1;106,179;40,58;0;CARABANCHEL;VISTA ALEGRE;40,382651;-3,743062;436927,667;4470494,09
AREA INFANTIL;CALLE PUERTO DE LA CRUZ VERDE nº 19;71;2040;20118237;VALLA MADERA - TALANQUERA Y VALLA METALICA VERDE;ARENA;EN JARDIN EMBAJADORES M-3 (MADRO?OS);0;13;1296,661;148,45;C · CALLE PUERTO DE LA CRUZ VERDE , ASCENDIENTE 1;ARGANZUELA;LEGAZPI;40,386665;-3,685998;441774,826;4470900,507
AREA INFANTIL;CAMINO CRUCES nº 6;780;11104;20078473;SIN VALLA;ARENA;0;0;5;405,381;78,67;PARQUE DE LAS CRUCES;CARABANCHEL;BUENAVISTA;40,374972;-3,75673;435760,17;4469651,626
AREA INFANTIL;CALLE CODORNIZ nº 17;760;11081;11074919;VALLA METALICA DE COLORINES + VALLA VEGETAL;ARENA;0;0;4;391,741;97,86;0;CARABANCHEL;VISTA ALEGRE;40,381674;-3,750153;436324,765;4470390,765
